Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Gorilla.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSPTRP00000047390	ENSBTAP00000017260	ENSGALP00000051639	ENSGGOP00000011216	ENSP00000262850	ENSMMUP00000041035	ENSMUSP00000039013	ENSRNOP00000004235	ENSXETP00000062800
ENSPTRP00000028839	ENSBTAP00000000013	ENSGALP00000023888	ENSGGOP00000028200	ENSP00000338533	ENSMMUP00000043651	ENSMUSP00000022751	ENSRNOP00000017666	ENSXETP00000015313
ENSPTRP00000060348	ENSBTAP00000045064	ENSGALP00000040600	ENSGGOP00000012491	ENSP00000428281	ENSMMUP00000051502	ENSMUSP00000033910	ENSRNOP00000068610	
ENSPTRP00000034460	ENSBTAP00000000986	ENSGALP00000018654	ENSGGOP00000003334	ENSP00000314196		ENSMUSP00000092988	ENSRNOP00000046106	
ENSPTRP00000024055	ENSBTAP00000026102	ENSGALP00000010549	ENSGGOP00000005584	ENSP00000381047	ENSMMUP00000005584	ENSMUSP00000101036	ENSRNOP00000045156	ENSXETP00000041266
ENSPTRP00000044768	ENSBTAP00000000989	ENSGALP00000016734	ENSGGOP00000012754	ENSP00000221114	ENSMMUP00000032160	ENSMUSP00000113716	ENSRNOP00000017756	ENSXETP00000022598
ENSPTRP00000028838	ENSBTAP00000019930	ENSGALP00000023885	ENSGGOP00000007463	ENSP00000302846	ENSMMUP00000021248	ENSMUSP00000048736	ENSRNOP00000017886	ENSXETP00000015315
ENSPTRP00000032770	ENSBTAP00000053807	ENSGALP00000021326	ENSGGOP00000028666	ENSP00000411096	ENSMMUP00000021279	ENSMUSP00000040465	ENSRNOP00000030281	
ENSPTRP00000028835	ENSBTAP00000021501	ENSGALP00000006023	ENSGGOP00000005737	ENSP00000313391	ENSMMUP00000034814	ENSMUSP00000079689	ENSRNOP00000043878	ENSXETP00000014784
ENSPTRP00000043609	ENSBTAP00000019741	ENSGALP00000004983	ENSGGOP00000009499	ENSP00000349439	ENSMMUP00000018703	ENSMUSP00000041113	ENSRNOP00000003332	ENSXETP00000036253
ENSPTRP00000014547	ENSBTAP00000015260	ENSGALP00000004439	ENSGGOP00000018664	ENSP00000461382	ENSMMUP00000023121	ENSMUSP00000126838	ENSRNOP00000005100	ENSXETP00000048213
ENSPTRP00000007901	ENSBTAP00000026308	ENSGALP00000053152	ENSGGOP00000014536	ENSP00000302079	ENSMMUP00000040281	ENSMUSP00000048092	ENSRNOP00000012216	ENSXETP00000051550
ENSPTRP00000050013			ENSGGOP00000024394	ENSP00000332134		ENSMUSP00000030326	ENSRNOP00000049620	
ENSPTRP00000038902	ENSBTAP00000026951	ENSGALP00000048880	ENSGGOP00000009989	ENSP00000341737	ENSMMUP00000020000	ENSMUSP00000032477	ENSRNOP00000013272	
ENSPTRP00000024056	ENSBTAP00000029198	ENSGALP00000009021	ENSGGOP00000008235	ENSP00000381023	ENSMMUP00000005587	ENSMUSP00000101040	ENSRNOP00000001631	ENSXETP00000062641
ENSPTRP00000016887	ENSBTAP00000045263	ENSGALP00000024299	ENSGGOP00000007531	ENSP00000284202	ENSMMUP00000006200	ENSMUSP00000025290	ENSRNOP00000064200	ENSXETP00000033381
ENSPTRP00000044562				ENSP00000448841				
ENSPTRP00000034463	ENSBTAP00000045054	ENSGALP00000016725	ENSGGOP00000004715	ENSP00000340176	ENSMMUP00000000626	ENSMUSP00000033995	ENSRNOP00000017883	ENSXETP00000024635
ENSPTRP00000046496	ENSBTAP00000007694	ENSGALP00000049927	ENSGGOP00000008005	ENSP00000417303	ENSMMUP00000045442	ENSMUSP00000108193	ENSRNOP00000050482	ENSXETP00000021199
ENSPTRP00000038918	ENSBTAP00000055112	ENSGALP00000036896	ENSGGOP00000016505	ENSP00000351905	ENSMMUP00000013111	ENSMUSP00000062333	ENSRNOP00000035501	ENSXETP00000031689
ENSPTRP00000032775	ENSBTAP00000053671	ENSGALP00000021328	ENSGGOP00000010568	ENSP00000341819	ENSMMUP00000053462	ENSMUSP00000105303	ENSRNOP00000066776	ENSXETP00000059990
ENSPTRP00000000591	ENSBTAP00000040572	ENSGALP00000006529	ENSGGOP00000006589	ENSP00000363603	ENSMMUP00000005638	ENSMUSP00000030434	ENSRNOP00000012455	ENSXETP00000060749
ENSPTRP00000047387			ENSGGOP00000009273	ENSP00000364054	ENSMMUP00000054498			
ENSPTRP00000044951	ENSBTAP00000040496		ENSGGOP00000017634	ENSP00000229332	ENSMMUP00000019994	ENSMUSP00000062441	ENSRNOP00000048802	
ENSPTRP00000032776	ENSBTAP00000007229	ENSGALP00000036290	ENSGGOP00000016372	ENSP00000046087		ENSMUSP00000020413	ENSRNOP00000030318	
ENSPTRP00000028833	ENSBTAP00000021495		ENSGGOP00000020055	ENSP00000263408	ENSMMUP00000026132	ENSMUSP00000022749	ENSRNOP00000018545	ENSXETP00000014789
ENSPTRP00000016888	ENSBTAP00000045285	ENSGALP00000042376	ENSGGOP00000005462	ENSP00000256906	ENSMMUP00000044575	ENSMUSP00000041061	ENSRNOP00000022744	ENSXETP00000059811
ENSPTRP00000035527	ENSBTAP00000027945	ENSGALP00000054614	ENSGGOP00000015861	ENSP00000373570	ENSMMUP00000039239	ENSMUSP00000006151	ENSRNOP00000041764	ENSXETP00000028241
ENSPTRP00000053460	ENSBTAP00000055877	ENSGALP00000027307	ENSGGOP00000008771	ENSP00000348054	ENSMMUP00000053658	ENSMUSP00000097912	ENSRNOP00000054640	ENSXETP00000010225
ENSPTRP00000047386	ENSBTAP00000055588		ENSGGOP00000004662	ENSP00000335008	ENSMMUP00000024457	ENSMUSP00000142081	ENSRNOP00000046674	
ENSPTRP00000013268	ENSBTAP00000019746	ENSGALP00000004959	ENSGGOP00000009514	ENSP00000379773	ENSMMUP00000014738	ENSMUSP00000041308	ENSRNOP00000069541	ENSXETP00000036248
ENSPTRP00000047384		ENSGALP00000042500	ENSGGOP00000028433	ENSP00000364035	ENSMMUP00000021981			ENSXETP00000039448
ENSPTRP00000039088	ENSBTAP00000016863	ENSGALP00000016708	ENSGGOP00000024080	ENSP00000348168	ENSMMUP00000000627	ENSMUSP00000132287	ENSRNOP00000055659	ENSXETP00000024636
ENSPTRP00000056807	ENSBTAP00000045301	ENSGALP00000051799	ENSGGOP00000024223	ENSP00000354794	ENSMMUP00000045229	ENSMUSP00000025288	ENSRNOP00000068573	
ENSPTRP00000043914	ENSBTAP00000025809	ENSGALP00000006552	ENSGGOP00000025673	ENSP00000363596	ENSMMUP00000005639	ENSMUSP00000095454	ENSRNOP00000012342	ENSXETP00000011522
ENSPTRP00000049734	ENSBTAP00000004398	ENSGALP00000050317	ENSGGOP00000012326	ENSP00000215793	ENSMMUP00000007333	ENSMUSP00000002198	ENSRNOP00000008355	ENSXETP00000035212
ENSPTRP00000025376	ENSBTAP00000009385	ENSGALP00000018644	ENSGGOP00000000064	ENSP00000282538	ENSMMUP00000013114	ENSMUSP00000077694		ENSXETP00000031701
ENSPTRP00000050475					ENSMMUP00000032489	ENSMUSP00000098062	ENSRNOP00000055986	
ENSPTRP00000045006	ENSBTAP00000040573	ENSGALP00000039675	ENSGGOP00000004327	ENSP00000334840	ENSMMUP00000018121	ENSMUSP00000030436	ENSRNOP00000070641	ENSXETP00000011525
ENSPTRP00000035528	ENSBTAP00000035379	ENSGALP00000052462	ENSGGOP00000027296	ENSP00000321026	ENSMMUP00000017477	ENSMUSP00000062628	ENSRNOP00000045285	ENSXETP00000001849
ENSPTRP00000003791	ENSBTAP00000020207	ENSGALP00000049438	ENSGGOP00000002024	ENSP00000419923	ENSMMUP00000058669	ENSMUSP00000000080	ENSRNOP00000023033	
ENSPTRP00000053459	ENSBTAP00000035448	ENSGALP00000050521	ENSGGOP00000015301	ENSP00000366819	ENSMMUP00000004740	ENSMUSP00000002289	ENSRNOP00000012842	ENSXETP00000010224
ENSPTRP00000032779	ENSBTAP00000053497	ENSGALP00000021331	ENSGGOP00000026491	ENSP00000297001	ENSMMUP00000053912	ENSMUSP00000105300	ENSRNOP00000033938	
ENSPTRP00000050473	ENSBTAP00000024416		ENSGGOP00000012843	ENSP00000445418		ENSMUSP00000106369	ENSRNOP00000075274	
ENSPTRP00000046489	ENSBTAP00000053177	ENSGALP00000009381	ENSGGOP00000022101	ENSP00000439807	ENSMMUP00000025474	ENSMUSP00000099894	ENSRNOP00000072433	ENSXETP00000059683
ENSPTRP00000044691	ENSBTAP00000008812	ENSGALP00000005978	ENSGGOP00000014263	ENSP00000296782	ENSMMUP00000002157	ENSMUSP00000051809	ENSRNOP00000030782	ENSXETP00000028940
ENSPTRP00000052680	ENSBTAP00000010616	ENSGALP00000006566	ENSGGOP00000000387	ENSP00000420195	ENSMMUP00000051639	ENSMUSP00000101479	ENSRNOP00000062605	ENSXETP00000056820
ENSPTRP00000016892	ENSBTAP00000015327	ENSGALP00000051651	ENSGGOP00000004377	ENSP00000414516	ENSMMUP00000056949	ENSMUSP00000046320	ENSRNOP00000038436	ENSXETP00000063796
ENSPTRP00000032781	ENSBTAP00000018632	ENSGALP00000049484	ENSGGOP00000017763	ENSP00000331614	ENSMMUP00000035299	ENSMUSP00000075992	ENSRNOP00000069446	ENSXETP00000034226
ENSPTRP00000050469	ENSBTAP00000032278		ENSGGOP00000024618	ENSP00000371505	ENSMMUP00000018015	ENSMUSP00000024118	ENSRNOP00000013330	
ENSPTRP00000014550	ENSBTAP00000015261		ENSGGOP00000005394	ENSP00000263071	ENSMMUP00000035451	ENSMUSP00000044248	ENSRNOP00000073392	ENSXETP00000046819
ENSPTRP00000003793	ENSBTAP00000022850		ENSGGOP00000010789	ENSP00000298375	ENSMMUP00000003327	ENSMUSP00000089459	ENSRNOP00000023133	
ENSPTRP00000047383	ENSBTAP00000042160	ENSGALP00000051514	ENSGGOP00000011356	ENSP00000364023	ENSMMUP00000025539	ENSMUSP00000100524		ENSXETP00000025273
ENSPTRP00000007917	ENSBTAP00000052843		ENSGGOP00000007722	ENSP00000299665	ENSMMUP00000018021	ENSMUSP00000032240	ENSRNOP00000013536	
ENSPTRP00000061198		ENSGALP00000044150		ENSP00000428858	ENSMMUP00000046554	ENSMUSP00000136891	ENSRNOP00000065812	
ENSPTRP00000044688	ENSBTAP00000016923	ENSGALP00000012289	ENSGGOP00000003105	ENSP00000253401	ENSMMUP00000041421	ENSMUSP00000109510		ENSXETP00000062894
ENSPTRP00000034471	ENSBTAP00000009363	ENSGALP00000047092	ENSGGOP00000002299	ENSP00000221130	ENSMMUP00000053164	ENSMUSP00000033992	ENSRNOP00000068989	ENSXETP00000024638
ENSPTRP00000025378	ENSBTAP00000009782	ENSGALP00000018671	ENSGGOP00000012860	ENSP00000295770	ENSMMUP00000011289	ENSMUSP00000035010	ENSRNOP00000017243	ENSXETP00000063704
ENSPTRP00000010086	ENSBTAP00000014167	ENSGALP00000027304	ENSGGOP00000012289	ENSP00000433352	ENSMMUP00000001749	ENSMUSP00000097910	ENSRNOP00000074706	ENSXETP00000010221
ENSPTRP00000060306	ENSBTAP00000043577	ENSGALP00000004641	ENSGGOP00000018201	ENSP00000460348	ENSMMUP00000035441	ENSMUSP00000018449	ENSRNOP00000073574	ENSXETP00000048189
ENSPTRP00000007918	ENSBTAP00000016163		ENSGGOP00000011919	ENSP00000299663	ENSMMUP00000018022	ENSMUSP00000032239	ENSRNOP00000073160	
ENSPTRP00000014562	ENSBTAP00000015272		ENSGGOP00000010212	ENSP00000331965		ENSMUSP00000042958	ENSRNOP00000053192	ENSXETP00000063730
ENSPTRP00000046018	ENSBTAP00000015274	ENSGALP00000040939	ENSGGOP00000020822	ENSP00000386609	ENSMMUP00000003188	ENSMUSP00000134266	ENSRNOP00000004365	ENSXETP00000029683
ENSPTRP00000003797	ENSBTAP00000014044			ENSP00000370254		ENSMUSP00000021632	ENSRNOP00000059125	ENSXETP00000025276
ENSPTRP00000007919	ENSBTAP00000025096	ENSGALP00000023051	ENSGGOP00000003281	ENSP00000229335	ENSMMUP00000040274	ENSMUSP00000040524	ENSRNOP00000020762	ENSXETP00000051545
ENSPTRP00000025379	ENSBTAP00000012114	ENSGALP00000018684	ENSGGOP00000013518	ENSP00000379804	ENSMMUP00000011290	ENSMUSP00000038013	ENSRNOP00000015643	ENSXETP00000053561
ENSPTRP00000027397	ENSBTAP00000041634	ENSGALP00000025093	ENSGGOP00000018707	ENSP00000348775	ENSMMUP00000008198	ENSMUSP00000063412	ENSRNOP00000042002	ENSXETP00000060615
ENSPTRP00000058770	ENSBTAP00000006298	ENSGALP00000025099	ENSGGOP00000007843	ENSP00000374387		ENSMUSP00000030980	ENSRNOP00000011824	ENSXETP00000059596
ENSPTRP00000050880	ENSBTAP00000014044		ENSGGOP00000016928			ENSMUSP00000021632	ENSRNOP00000059125	ENSXETP00000025276
ENSPTRP00000027402		ENSGALP00000025100	ENSGGOP00000007878	ENSP00000371927	ENSMMUP00000008201			ENSXETP00000033651
ENSPTRP00000041477	ENSBTAP00000019817	ENSGALP00000006594	ENSGGOP00000022325	ENSP00000363557	ENSMMUP00000030348	ENSMUSP00000101480	ENSRNOP00000045729	ENSXETP00000011538
ENSPTRP00000041694	ENSBTAP00000019422	ENSGALP00000044767	ENSGGOP00000013134	ENSP00000460871	ENSMMUP00000048434	ENSMUSP00000113431	ENSRNOP00000067297	ENSXETP00000062942
ENSPTRP00000027405	ENSBTAP00000019695	ENSGALP00000046091	ENSGGOP00000026411	ENSP00000354255	ENSMMUP00000008203	ENSMUSP00000039804	ENSRNOP00000012109	ENSXETP00000033654
ENSPTRP00000003805	ENSBTAP00000014044		ENSGGOP00000002916	ENSP00000369927	ENSMMUP00000047543	ENSMUSP00000021632	ENSRNOP00000059125	ENSXETP00000025276
ENSPTRP00000048375			ENSGGOP00000009357	ENSP00000370420	ENSMMUP00000053432			
ENSPTRP00000049412			ENSGGOP00000009357	ENSP00000370420	ENSMMUP00000053432			
ENSPTRP00000044097	ENSBTAP00000024762	ENSGALP00000056691	ENSGGOP00000002018	ENSP00000321987	ENSMMUP00000052787	ENSMUSP00000090020	ENSRNOP00000036562	ENSXETP00000040317
ENSPTRP00000024527	ENSBTAP00000002776	ENSGALP00000042312	ENSGGOP00000012335	ENSP00000385357	ENSMMUP00000022483	ENSMUSP00000091074	ENSRNOP00000006911	ENSXETP00000058530
ENSPTRP00000040609	ENSBTAP00000001962	ENSGALP00000043302	ENSGGOP00000026606	ENSP00000410811	ENSMMUP00000000692	ENSMUSP00000126340	ENSRNOP00000005857	ENSXETP00000034241
ENSPTRP00000024528	ENSBTAP00000004400	ENSGALP00000048775	ENSGGOP00000012350	ENSP00000371800	ENSMMUP00000052575	ENSMUSP00000003677	ENSRNOP00000006827	
ENSPTRP00000059995	ENSBTAP00000011639	ENSGALP00000038731	ENSGGOP00000009699	ENSP00000329117	ENSMMUP00000056655	ENSMUSP00000109502	ENSRNOP00000043681	ENSXETP00000059394
ENSPTRP00000047382	ENSBTAP00000011639	ENSGALP00000038731	ENSGGOP00000009699	ENSP00000329117	ENSMMUP00000056655	ENSMUSP00000109502	ENSRNOP00000043681	ENSXETP00000059394
ENSPTRP00000034478	ENSBTAP00000022719		ENSGGOP00000028090	ENSP00000256246	ENSMMUP00000027405	ENSMUSP00000009772	ENSRNOP00000032440	
ENSPTRP00000032790	ENSBTAP00000051814	ENSGALP00000021345	ENSGGOP00000006168	ENSP00000403644	ENSMMUP00000026286	ENSMUSP00000136467	ENSRNOP00000005851	ENSXETP00000010839
ENSPTRP00000041419	ENSBTAP00000009484	ENSGALP00000012265	ENSGGOP00000007715	ENSP00000355195		ENSMUSP00000033549	ENSRNOP00000005663	ENSXETP00000054472
ENSPTRP00000056683	ENSBTAP00000051657	ENSGALP00000048837	ENSGGOP00000012372	ENSP00000478755	ENSMMUP00000055549	ENSMUSP00000003681	ENSRNOP00000006542	ENSXETP00000035215
ENSPTRP00000034482	ENSBTAP00000028778	ENSGALP00000044142	ENSGGOP00000024577	ENSP00000298139	ENSMMUP00000029828	ENSMUSP00000033991	ENSRNOP00000055596	ENSXETP00000063584
ENSPTRP00000019604	ENSBTAP00000051990		ENSGGOP00000019436	ENSP00000373274				
ENSPTRP00000025383	ENSBTAP00000002237	ENSGALP00000018698	ENSGGOP00000005904	ENSP00000307741	ENSMMUP00000016646	ENSMUSP00000043706	ENSRNOP00000015188	
ENSPTRP00000037747	ENSBTAP00000046933	ENSGALP00000049336	ENSGGOP00000015586	ENSP00000363985	ENSMMUP00000005718			ENSXETP00000060954
ENSPTRP00000053732	ENSBTAP00000037316	ENSGALP00000003173	ENSGGOP00000022902	ENSP00000407067		ENSMUSP00000068003	ENSRNOP00000003843	ENSXETP00000063151
ENSPTRP00000016894	ENSBTAP00000023541		ENSGGOP00000015978	ENSP00000311121	ENSMMUP00000043118	ENSMUSP00000042590	ENSRNOP00000042447	
ENSPTRP00000014569	ENSBTAP00000027793	ENSGALP00000004719	ENSGGOP00000023981	ENSP00000321853	ENSMMUP00000003191	ENSMUSP00000048704	ENSRNOP00000004322	ENSXETP00000029676
ENSPTRP00000025386	ENSBTAP00000002243	ENSGALP00000018702	ENSGGOP00000019027	ENSP00000335605	ENSMMUP00000052642	ENSMUSP00000035009	ENSRNOP00000014861	ENSXETP00000053558
ENSPTRP00000010087			ENSGGOP00000022410	ENSP00000317235	ENSMMUP00000048974			
ENSPTRP00000024067								
ENSPTRP00000010090	ENSBTAP00000010869	ENSGALP00000054650	ENSGGOP00000014516	ENSP00000366682	ENSMMUP00000056171	ENSMUSP00000022722	ENSRNOP00000013182	ENSXETP00000062094
ENSPTRP00000014571	ENSBTAP00000012804	ENSGALP00000055971	ENSGGOP00000000239	ENSP00000254722	ENSMMUP00000029214	ENSMUSP00000000769	ENSRNOP00000004313	ENSXETP00000057632
ENSPTRP00000013275			ENSGGOP00000025624	ENSP00000053243	ENSMMUP00000028345	ENSMUSP00000023140	ENSRNOP00000034356	
ENSPTRP00000053925	ENSBTAP00000041209			ENSP00000375479	ENSMMUP00000035711	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000060961	ENSBTAP00000024268	ENSGALP00000053746	ENSGGOP00000011522	ENSP00000368952	ENSMMUP00000002809	ENSMUSP00000029307	ENSRNOP00000068305	ENSXETP00000034943
ENSPTRP00000009879	ENSBTAP00000024268	ENSGALP00000053746	ENSGGOP00000011522	ENSP00000368952	ENSMMUP00000002809	ENSMUSP00000029307	ENSRNOP00000068305	ENSXETP00000034943
ENSPTRP00000060552	ENSBTAP00000041209				ENSMMUP00000029694	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000010092	ENSBTAP00000025093	ENSGALP00000027298	ENSGGOP00000013543	ENSP00000490953		ENSMUSP00000022721	ENSRNOP00000073919	ENSXETP00000033758
ENSPTRP00000025388	ENSBTAP00000026019	ENSGALP00000018704	ENSGGOP00000012314	ENSP00000205636	ENSMMUP00000001929	ENSMUSP00000035007	ENSRNOP00000014585	ENSXETP00000061489
ENSPTRP00000043823	ENSBTAP00000041209			ENSP00000383225		ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000003813								ENSXETP00000025276
ENSPTRP00000024068	ENSBTAP00000041209			ENSP00000383223	ENSMMUP00000028483	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000056281								ENSXETP00000025276
ENSPTRP00000024069	ENSBTAP00000041209			ENSP00000381009	ENSMMUP00000028483	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000039343	ENSBTAP00000041209			ENSP00000381009	ENSMMUP00000028483	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000053927	ENSBTAP00000041209			ENSP00000381009	ENSMMUP00000028483	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000059986	ENSBTAP00000041209			ENSP00000381009	ENSMMUP00000028483	ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000003803	ENSBTAP00000014044		ENSGGOP00000021669	ENSP00000369814	ENSMMUP00000054078	ENSMUSP00000021632	ENSRNOP00000059125	ENSXETP00000025276
ENSPTRP00000025389	ENSBTAP00000019566	ENSGALP00000018705	ENSGGOP00000015599	ENSP00000273130	ENSMMUP00000055901	ENSMUSP00000035366	ENSRNOP00000014532	ENSXETP00000011775
ENSPTRP00000039308		ENSGALP00000051054	ENSGGOP00000013259					
ENSPTRP00000049442	ENSBTAP00000005578	ENSGALP00000024358	ENSGGOP00000003902	ENSP00000462980	ENSMMUP00000021276	ENSMUSP00000126909	ENSRNOP00000031359	ENSXETP00000063504
ENSPTRP00000043944	ENSBTAP00000000398	ENSGALP00000040908		ENSP00000352455	ENSMMUP00000040272	ENSMUSP00000122863	ENSRNOP00000075112	
ENSPTRP00000013278	ENSBTAP00000037293	ENSGALP00000051054		ENSP00000456480	ENSMMUP00000030562	ENSMUSP00000138025	ENSRNOP00000003150	ENSXETP00000012182
ENSPTRP00000043543	ENSBTAP00000025095		ENSGGOP00000006853	ENSP00000347834	ENSMMUP00000028265	ENSMUSP00000022720	ENSRNOP00000071266	ENSXETP00000033755
ENSPTRP00000037748	ENSBTAP00000004918	ENSGALP00000051913	ENSGGOP00000009463	ENSP00000363972	ENSMMUP00000009075	ENSMUSP00000041236	ENSRNOP00000072405	ENSXETP00000038584
ENSPTRP00000028824	ENSBTAP00000053771	ENSGALP00000005933	ENSGGOP00000014226	ENSP00000274276	ENSMMUP00000002150	ENSMUSP00000022746	ENSRNOP00000039644	ENSXETP00000028942
ENSPTRP00000060884				ENSP00000375476				
ENSPTRP00000034489	ENSBTAP00000044846	ENSGALP00000049740	ENSGGOP00000023096	ENSP00000287842	ENSMMUP00000000295	ENSMUSP00000073546	ENSRNOP00000072731	ENSXETP00000038034
ENSPTRP00000053923	ENSBTAP00000053943			ENSP00000375475	ENSMMUP00000029698	ENSMUSP00000135962	ENSRNOP00000043923	
ENSPTRP00000044756	ENSBTAP00000041209		ENSGGOP00000024054	ENSP00000383216		ENSMUSP00000139550	ENSRNOP00000065996	
ENSPTRP00000024077	ENSBTAP00000055782	ENSGALP00000009075	ENSGGOP00000004053	ENSP00000338348	ENSMMUP00000042056	ENSMUSP00000133515	ENSRNOP00000001636	ENSXETP00000040321
ENSPTRP00000040197	ENSBTAP00000014539	ENSGALP00000027475	ENSGGOP00000003763	ENSP00000332034	ENSMMUP00000002813	ENSMUSP00000055253	ENSRNOP00000014614	ENSXETP00000034962
ENSPTRP00000042615	ENSBTAP00000025100	ENSGALP00000048761	ENSGGOP00000010567	ENSP00000444596	ENSMMUP00000049234	ENSMUSP00000124710	ENSRNOP00000014583	ENSXETP00000033750
ENSPTRP00000016897	ENSBTAP00000018944	ENSGALP00000024361	ENSGGOP00000024277	ENSP00000384367	ENSMMUP00000006106	ENSMUSP00000128070	ENSRNOP00000058222	ENSXETP00000015129
ENSPTRP00000013280			ENSGGOP00000013268					
ENSPTRP00000013281	ENSBTAP00000007071	ENSGALP00000052918	ENSGGOP00000009254	ENSP00000371193	ENSMMUP00000058314	ENSMUSP00000093992	ENSRNOP00000051045	ENSXETP00000019617
ENSPTRP00000037751	ENSBTAP00000002858	ENSGALP00000049980	ENSGGOP00000028469	ENSP00000340839	ENSMMUP00000016082	ENSMUSP00000080820	ENSRNOP00000045289	ENSXETP00000038587
ENSPTRP00000059240	ENSBTAP00000022720	ENSGALP00000021356	ENSGGOP00000006350	ENSP00000381793	ENSMMUP00000052173	ENSMUSP00000091011	ENSRNOP00000070674	ENSXETP00000053458
ENSPTRP00000039193	ENSBTAP00000024112	ENSGALP00000046243	ENSGGOP00000012381	ENSP00000266263		ENSMUSP00000004868	ENSRNOP00000006160	ENSXETP00000035216
ENSPTRP00000016898	ENSBTAP00000025341	ENSGALP00000036020	ENSGGOP00000010219	ENSP00000372654	ENSMMUP00000059192	ENSMUSP00000078088	ENSRNOP00000072488	ENSXETP00000061647
ENSPTRP00000060167	ENSBTAP00000054165	ENSGALP00000046457		ENSP00000454014	ENSMMUP00000018187	ENSMUSP00000132646		
ENSPTRP00000050875	ENSBTAP00000046927	ENSGALP00000051792	ENSGGOP00000016393	ENSP00000369798	ENSMMUP00000022961	ENSMUSP00000049678	ENSRNOP00000023887	ENSXETP00000035550
ENSPTRP00000024079	ENSBTAP00000029020	ENSGALP00000009087	ENSGGOP00000002046	ENSP00000328325	ENSMMUP00000049279	ENSMUSP00000009435	ENSRNOP00000001638	ENSXETP00000059345
ENSPTRP00000037752	ENSBTAP00000002861	ENSGALP00000057247	ENSGGOP00000008546	ENSP00000363944	ENSMMUP00000005232	ENSMUSP00000078901	ENSRNOP00000016042	ENSXETP00000062150
ENSPTRP00000007924	ENSBTAP00000004262	ENSGALP00000056173	ENSGGOP00000000327	ENSP00000350136	ENSMMUP00000036811	ENSMUSP00000064467	ENSRNOP00000052301	ENSXETP00000063024
ENSPTRP00000049455			ENSGGOP00000005746					
ENSPTRP00000003816	ENSBTAP00000055631		ENSGGOP00000023912	ENSP00000369784	ENSMMUP00000022962	ENSMUSP00000021639	ENSRNOP00000031564	
ENSPTRP00000028823	ENSBTAP00000013754	ENSGALP00000005914	ENSGGOP00000014650	ENSP00000263409	ENSMMUP00000009693	ENSMUSP00000126137	ENSRNOP00000016036	ENSXETP00000028952
ENSPTRP00000053757	ENSBTAP00000043645	ENSGALP00000004707	ENSGGOP00000019426	ENSP00000310520	ENSMMUP00000020550	ENSMUSP00000023206	ENSRNOP00000004563	ENSXETP00000024054
ENSPTRP00000057819	ENSBTAP00000011234	ENSGALP00000008721	ENSGGOP00000024705	ENSP00000370340	ENSMMUP00000039247	ENSMUSP00000052863	ENSRNOP00000060839	ENSXETP00000001859
ENSPTRP00000044432	ENSBTAP00000037647	ENSGALP00000047023	ENSGGOP00000024997	ENSP00000299698	ENSMMUP00000029853			ENSXETP00000015206
ENSPTRP00000024534	ENSBTAP00000019231	ENSGALP00000048837	ENSGGOP00000004181	ENSP00000215812	ENSMMUP00000025455	ENSMUSP00000065084		ENSXETP00000035215
ENSPTRP00000025390	ENSBTAP00000006348	ENSGALP00000018708	ENSGGOP00000000170	ENSP00000399862	ENSMMUP00000008674	ENSMUSP00000064840	ENSRNOP00000074139	ENSXETP00000011769
ENSPTRP00000016902	ENSBTAP00000031030	ENSGALP00000053850	ENSGGOP00000018884	ENSP00000480991	ENSMMUP00000015489	ENSMUSP00000049975	ENSRNOP00000021253	
ENSPTRP00000003818	ENSBTAP00000010066	ENSGALP00000013731	ENSGGOP00000022854	ENSP00000347134	ENSMMUP00000053028	ENSMUSP00000089464	ENSRNOP00000023945	ENSXETP00000039389
ENSPTRP00000016903	ENSBTAP00000028238	ENSGALP00000024371	ENSGGOP00000025824	ENSP00000269141	ENSMMUP00000019908	ENSMUSP00000025166	ENSRNOP00000021170	ENSXETP00000015139
ENSPTRP00000037758	ENSBTAP00000020939		ENSGGOP00000000331	ENSP00000363869	ENSMMUP00000003690	ENSMUSP00000051521	ENSRNOP00000036992	
ENSPTRP00000009883	ENSBTAP00000014541	ENSGALP00000027474		ENSP00000368920	ENSMMUP00000002815	ENSMUSP00000055295	ENSRNOP00000014562	ENSXETP00000034963
ENSPTRP00000055015	ENSBTAP00000022687	ENSGALP00000012130	ENSGGOP00000014106	ENSP00000380948	ENSMMUP00000001276	ENSMUSP00000000299	ENSRNOP00000001639	ENSXETP00000040451
ENSPTRP00000013288	ENSBTAP00000011499	ENSGALP00000049033	ENSGGOP00000008571	ENSP00000459626	ENSMMUP00000022881	ENSMUSP00000009713		ENSXETP00000024057
